# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20250801
# End date: 20251027
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,573,378,0.6596858638743456,41.340314136125656,8.99650959860384,5155,1,0.0017452006980802793,89.999999
Direct,438,231,0.5273972602739726,33.518264840182646,6.1187214611872145,2680,0,0,0
Display,421,99,0.23515439429928742,9.729216152019003,4.3729216152019,1841,0,0,0
Organic Social,215,138,0.641860465116279,18.75813953488372,6.47906976744186,1393,0,0,0
Organic Search,143,72,0.5034965034965035,82.48251748251748,10.545454545454545,1508,0,0,0
Paid Social,94,44,0.46808510638297873,31.170212765957448,9.159574468085106,861,0,0,0
Paid Video,79,17,0.21518987341772153,7.784810126582278,3.8987341772151898,308,0,0,0
Referral,26,14,0.5384615384615384,196.26923076923077,15.884615384615385,413,2,0.038461538461538464,18
Unassigned,20,0,0,67.6,4.95,99,0,0,0
Cross-network,18,15,0.8333333333333334,64.38888888888889,10.88888888888889,196,1,0.05555555555555555,170
Organic Shopping,15,9,0.6,86.33333333333333,16.866666666666667,253,0,0,0
