# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20250801
# End date: 20251030
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,619,404,0.6526655896607432,40.31502423263328,8.820678513731826,5460,1,0.0016155088852988692,89.999999
Direct,468,234,0.5,31.53205128205128,6.002136752136752,2809,0,0,0
Display,421,99,0.23515439429928742,9.729216152019003,4.3729216152019,1841,0,0,0
Organic Social,224,145,0.6473214285714286,18.857142857142858,6.535714285714286,1464,1,0.004464285714285714,0
Organic Search,153,78,0.5098039215686274,78.36601307189542,10.352941176470589,1584,1,0.006535947712418301,0
Paid Social,95,44,0.4631578947368421,30.842105263157894,9.115789473684211,866,0,0,0
Paid Video,79,17,0.21518987341772153,7.784810126582278,3.8987341772151898,308,0,0,0
Referral,31,17,0.5483870967741935,199.32258064516128,15.387096774193548,477,2,0.03225806451612903,18
Cross-network,27,19,0.7037037037037037,49.592592592592595,8.925925925925926,241,1,0.037037037037037035,170
Unassigned,22,2,0.09090909090909091,25.09090909090909,6.136363636363637,135,1,0.045454545454545456,0
Organic Shopping,15,9,0.6,86.33333333333333,16.866666666666667,253,0,0,0
