Search keyword report
1 August 2025 - 30 October 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Paused,luxury christmas decorations australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,29,6,20.69%,5.25,0.00%,0.00,0.00
Paused,christmas gifts,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,2,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""handmade christmas wreaths""",Phrase Match,Christmas Products,Eligible,,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,44,3,6.82%,5.59,0.00%,0.00,0.00
Paused,festive decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury handmade christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas gifts,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas centrepiece,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
Paused,seasonal decor,Broad Match,Christmas Products,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas online shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,holiday gift shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""bespoke christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreath delivery],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreaths australia],Exact Match,Christmas Products,Limited,below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,3,1,33.33%,1.99,0.00%,0.00,0.00
Enabled,"""christmas door wreaths""",Phrase Match,Christmas Products,Eligible,,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,77,9,11.69%,12.51,0.00%,0.00,0.00
Enabled,"""luxury christmas wreaths australia""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,3,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreath delivery""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,63,9,14.29%,8.12,0.00%,0.00,0.00
Paused,"""christmas gifts""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas flower arrangements,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas door wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,2,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""high end christmas wreath""",Phrase Match,Christmas Products,Eligible,,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,57,9,15.79%,18.33,0.00%,0.00,0.00
Paused,"""christmas decorations australia""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,wreath christmas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas gift ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""custom christmas wreath australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[christmas door wreath australia],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,31,8,25.81%,7.92,0.00%,0.00,0.00
Paused,xmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,5,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,christmas wreath,Broad Match,Christmas Products,Limited,below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,524,60,11.45%,57.39,0.00%,0.00,0.00
Enabled,[christmas wreath online],Exact Match,Christmas Products,Eligible,,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury door wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,3,2,66.67%,2.97,0.00%,0.00,0.00
Enabled,[luxury christmas wreath australia],Exact Match,Christmas Products,Eligible,,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,35,12,34.29%,25.50,0.00%,0.00,0.00
Enabled,[buy christmas wreath],Exact Match,Christmas Products,Eligible,,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,287,38,13.24%,42.47,0.00%,0.00,0.00
Enabled,[buy luxury wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreaths australia""",Phrase Match,Christmas Products,Eligible,,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,100,15,15.00%,12.12,0.00%,0.00,0.00
Enabled,"""luxury christmas door wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[designer luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""eucalyptus christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreath""",Phrase Match,Christmas Products,Eligible,,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,15,6,40.00%,12.27,33.33%,2.00,6.14
Enabled,"""designer christmas door wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas table centrepiece,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.40,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,4,1,25.00%,0.85,0.00%,0.00,0.00
Enabled,[christmas door wreaths],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.70,https://beliefsinwreaths.com.au/collections/christmas-wreaths,5,1,20.00%,0.70,0.00%,0.00,0.00
Paused,xmas accessories,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury artificial christmas wreaths""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""xmas gifts""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas items,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[premium luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas gift ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,"1,433",169,11.79%,134.90,0.00%,0.00,0.00
Enabled,[luxury wreaths],Exact Match,Christmas Products,Limited,below first page bid,AUD,0.75,https://beliefsinwreaths.com.au/collections/christmas-wreaths,3,0,0.00%,0.00,0.00%,0.00,0.00
Paused,luxury christmas wreath australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,"2,153",285,13.24%,329.87,0.00%,0.00,0.00
Paused,christmas table,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,2,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""xmas wreaths for front door""",Phrase Match,Christmas Products,Eligible,,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,8,2,25.00%,1.35,0.00%,0.00,0.00
Paused,festive wreaths,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas table decorations,Broad Match,Christmas Products,Eligible,,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,250,28,11.20%,51.07,0.00%,0.00,0.00
Enabled,[luxury artificial christmas wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,4,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""luxury designer christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath with lights,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreaths""",Phrase Match,Christmas Products,Eligible,,AUD,3.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,16,3,18.75%,4.50,0.00%,0.00,0.00
