Search keyword report
1 September 2025 - 27 October 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,"""holiday christmas decorations""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,2,0,0.00%,0.00,0.00%,0.00,0.00
Paused,luxury christmas wreath australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,"2,147",285,13.27%,329.87,0.00%,0.00,0.00
Enabled,"""xmas wreaths for front door""",Phrase Match,Christmas Products,Eligible,,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,8,2,25.00%,1.35,0.00%,0.00,0.00
Enabled,"""bespoke christmas wreath""",Phrase Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas accessories,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreath online],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreaths australia],Exact Match,Christmas Products,Limited,below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,1,33.33%,1.99,0.00%,0.00,0.00
Enabled,[christmas door wreath australia],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,27,8,29.63%,7.92,0.00%,0.00,0.00
Paused,xmas gifts,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath australia,Broad Match,Christmas Products,Limited,below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,5,1,20.00%,0.91,0.00%,0.00,0.00
Enabled,[luxury christmas door wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,2,0,0.00%,0.00,0.00%,0.00,0.00
