Search keyword report
27 October 2025 - 27 October 2025
Keyword status,Keyword,Match type,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,[christmas door wreaths],Exact Match,Limited,below first page bid,AUD,0.70,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreaths""",Phrase Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,3,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""handmade christmas wreaths""",Phrase Match,Limited,below first page bid,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,5,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreath""",Phrase Match,Eligible,,AUD,3.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,10,2,20.00%,5.85,0.00%,0.00,0.00
Paused,christmas gift ideas,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas decorations,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,wreath christmas,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreaths australia""",Phrase Match,Eligible,,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreath delivery],Exact Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas shopping,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas table decorations,Broad Match,Limited,below first page bid,AUD,0.70,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Paused,holiday gift shopping,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas flower arrangements,Broad Match,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury wreaths],Exact Match,Limited,below first page bid,AUD,0.75,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreaths australia""",Phrase Match,Limited,below first page bid,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury designer christmas wreath""",Phrase Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[christmas door wreath australia],Exact Match,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas door wreath],Exact Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreaths australia],Exact Match,Limited,below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,1,100.00%,1.99,0.00%,0.00,0.00
Enabled,"""xmas wreaths for front door""",Phrase Match,Eligible,,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""high end christmas wreath""",Phrase Match,Limited,below first page bid,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,18,1,5.56%,1.56,0.00%,0.00,0.00
Paused,xmas gifts,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,seasonal decor,Broad Match,Paused,Paused,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas accessories,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""bespoke christmas wreath""",Phrase Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,luxury christmas wreath australia,Broad Match,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""holiday christmas decorations""",Phrase Match,Limited,below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas centrepiece,Broad Match,Paused,Paused; below first page bid,AUD,0.35,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,christmas wreath australia,Broad Match,Limited,below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas decor reindeer,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[luxury christmas wreath online],Exact Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury wreath],Exact Match,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas door wreath""",Phrase Match,Not eligible,rarely served,AUD,0.65,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""christmas wreath delivery""",Phrase Match,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[wreath for front door],Exact Match,Limited,below first page bid,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths""",Phrase Match,Eligible,,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,12,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[luxury artificial christmas wreath],Exact Match,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,,4,0,0.00%,0.00,0.00%,0.00,0.00
Paused,christmas online shopping,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
Paused,festive decorations,Broad Match,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,,0,0, --,0.00,0.00%,0.00,0.00
