Search keyword report
29 October 2025 - 31 October 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Paused,[buy christmas wreath],Exact Match,Christmas Products,Paused,Paused,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,13,1,7.69%,1.98,0.00%,0.00,0.00
Enabled,[christmas door wreath australia],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,1,0,0.00%,0.00,0.00%,0.00,0.00
Enabled,[luxury door wreath],Exact Match,Christmas Products,Limited,below first page bid,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,[luxury christmas wreath australia],Exact Match,Christmas Products,Paused,Paused,AUD,2.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,xmas shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury handcrafted christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""designer luxury christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas wreath,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,74,8,10.81%,9.65,0.00%,0.00,0.00
Paused,xmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""handcrafted christmas decorations""",Phrase Match,Christmas Products,Eligible,,AUD,3.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[buy luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,AUD,2.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""premium christmas centrepieces""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
Enabled,[christmas wreath online],Exact Match,Christmas Products,Eligible,,AUD,0.60,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Enabled,"""luxury christmas wreath""",Phrase Match,Christmas Products,Eligible,,AUD,5.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,10,1,10.00%,5.25,0.00%,0.00,0.00
