Search terms report
31 October 2025 - 3 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
luxury christmas wreaths for front door,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.89,4.89,0.00%,0.00,0.00
christmas ornament our first christmas,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.24,3.24,0.00%,0.00,0.00
unique christmas decorations australia,Broad Match,None,Christmas Products,1,1,100.00%,AUD,1.48,1.48,0.00%,0.00,0.00
black christmas decoration,Broad Match,None,Christmas Products,1,1,100.00%,AUD,1.57,1.57,0.00%,0.00,0.00
liberty christmas decorations,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.47,4.47,0.00%,0.00,0.00
custom christmas decorations,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.25,3.25,0.00%,0.00,0.00
luxury christmas door wreath,Exact Match,Added,Christmas Products,1,1,100.00%,AUD,3.46,3.46,0.00%,0.00,0.00
dancer and dasher store,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.37,4.37,0.00%,0.00,0.00
christmas wreaths,Broad Match,None,Christmas Products,1,2,50.00%,AUD,1.50,1.50,0.00%,0.00,0.00
christmas wreaths for front door,Broad Match,None,Christmas Products,1,2,50.00%,AUD,1.48,1.48,0.00%,0.00,0.00
stylish christmas wreaths,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.25,4.25,0.00%,0.00,0.00
ashland christmas decorations,Phrase match (close variant),None,Christmas Products,2,1,200.00%,AUD,3.47,6.94,0.00%,0.00,0.00
christmas wreaths australia,Exact match (close variant),Added,Christmas Products,1,6,16.67%,AUD,1.49,1.49,0.00%,0.00,0.00
large christmas wreath outdoor,Broad Match,None,Christmas Products,1,2,50.00%,AUD,1.45,1.45,0.00%,0.00,0.00
christmas wreaths david jones,Phrase match (close variant),None,Christmas Products,2,1,200.00%,AUD,4.73,9.46,0.00%,0.00,0.00
luxury christmas decorations australia,Phrase match (close variant),Added,Christmas Products,1,3,33.33%,AUD,4.38,4.38,0.00%,0.00,0.00
expensive christmas decor,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.35,4.35,0.00%,0.00,0.00
holly and ivy chadstone,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.87,4.87,0.00%,0.00,0.00
harrods xmas decorations,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.47,3.47,0.00%,0.00,0.00
harris scarfe christmas decorations,Broad Match,None,Christmas Products,1,2,50.00%,AUD,1.49,1.49,0.00%,0.00,0.00
etsy handmade christmas decorations,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
pottery barn christmas,Broad Match,None,Christmas Products,0,4,0.00%,AUD,0,0.00,0.00%,0.00,0.00
david jones wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath making,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
sewing christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
light up christmas wreath,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath with timer lights,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
personalised laser cut christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
teardrop wreath base,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
grapevine wreath 24 inch,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath fresh,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
home made xmas wreath,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
easy christmas decorations to make at home,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wire wreath with lights,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas decorations using felt,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
target xmas decorations,Broad Match,None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Total: Search terms,,,,22,240,9.17%,AUD,3.27,71.86,0.00%,0.00,0.00
Total: Other search terms,,,,22,137,16.06%,AUD,2.97,65.37,0.00%,0.00,0.00
Total: Campaign,,,,44,377,11.67%,AUD,3.12,137.22,0.00%,0.00,0.00
