Search terms insight report
3 November 2025 - 9 November 2025 compared to 27 October 2025 - 2 November 2025
Search category,Search subcategory,Search terms,Impressions,Impressions (Change %),Clicks,Clicks (Change %),Conversions,Conversions (Change %),Conv. value,Conv. value (Change %),CTR,CTR (Change %),Conv. rate,Conv. rate (Change %),Search volume,Search volume (Change %)
christmas table decorations,Subcategory – Total, --,0,-100.00%,0,-100.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",31.00%
luxury christmas decorations australia,Subcategory – Total, --,16,-48.39%,6,50.00%,0.00,0.00%,0.00,0.00%,37.50%,190.63%,0.00%,0.00%,"10,000 - 100,000",27.00%
luxury christmas decorations australia,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
quirky christmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",33.00%
australian themed christmas,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",25.00%
christmas wreath white berries,Subcategory – Total, --,0,-100.00%,0,-100.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,10 - 100,-36.00%
wohlers christmas decorations,Subcategory – Total, --,16,-40.74%,3,50.00%,0.00,0.00%,0.00,0.00%,18.75%,153.13%,0.00%,0.00%,"10,000 - 100,000",34.00%
wohlers christmas decorations,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
christmas table settings,Subcategory – Total, --,1,-85.71%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",35.00%
ronis christmas,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",16.00%
large christmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",22.00%
christmas wreaths,Subcategory – Total, --,41,-33.87%,7,16.67%,0.00,0.00%,0.00,0.00%,17.07%,76.42%,0.00%,0.00%,"10,000 - 100,000",49.00%
christmas wreaths,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
harris scarfe christmas decorations,Subcategory – Total, --,3,-50.00%,1,-50.00%,0.00,0.00%,0.00,0.00%,33.33%,0.00%,0.00%,0.00%,"1,000 - 10,000",48.00%
harris scarfe christmas decorations,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
real christmas wreath,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,10 - 100,23.00%
wooden xmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",18.00%
provincial christmas decorations,Subcategory – Total, --,0,-100.00%,0,-100.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",31.00%
coastal christmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",12.00%
2025 xmas decoration ideas,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",-1.00%
christmas wreath for outdoors,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",25.00%
every avenue christmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",25.00%
minimax christmas,Subcategory – Total, --,1,∞,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",17.00%
minimax christmas,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
david jones xmas tree decorations,Subcategory – Total, --,2,∞,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",31.00%
david jones xmas tree decorations,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
high end christmas,Subcategory – Total, --,3,50.00%,1,∞,0.00,0.00%,0.00,0.00%,33.33%,∞,0.00%,0.00%,"100 - 1,000",-5.00%
high end christmas,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
gingerbread wreath decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",43.00%
