Landing page report
4 November 2025 - 5 November 2025
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://beliefsinwreaths.com.au/collections/easter-collection,ADVERTISER, --, --, --,0,12,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/policies/contact-information,ADVERTISER, --, --, --,0,1,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,ADVERTISER, --, --, --,0,30,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/all-year-collection,ADVERTISER, --, --, --,0,14,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/clearance,ADVERTISER, --, --, --,0,30,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/valentines-day-collection,ADVERTISER, --, --, --,0,7,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-collection,ADVERTISER, --, --, --,4,41,9.76%,AUD,4.10,16.38
https://beliefsinwreaths.com.au/collections/christmas-wreaths,ADVERTISER, --, --, --,2,42,4.76%,AUD,2.81,5.62
https://beliefsinwreaths.com.au/pages/contact,ADVERTISER, --, --, --,0,1,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/floral-arrangements,ADVERTISER, --, --, --,0,11,0.00%,AUD,0,0.00
Total: Landing pages, --, --, --, --,6,51,11.76%,AUD,3.67,22.00
Total: Account,, --, --, --,6,51,11.76%,AUD,3.67,22.00
Total: Search,, --, --, --,6,51,11.76%,AUD,3.67,22.00
Total: Smart,, --, --, --,0,0, --,AUD,0,0.00
