Search keyword report
4 November 2025 - 5 November 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate
Enabled,"""luxury christmas wreath""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,1,1,100.00%,4.62,0.00%
Enabled,"""bespoke christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,3,0,0.00%,0.00,0.00%
Paused,"""xmas gifts""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas table centrepiece,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""luxury artificial christmas wreaths""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas candle holder""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Enabled,"""designer christmas door wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[designer luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,[christmas door wreaths],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,xmas accessories,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""eucalyptus christmas wreath""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""christmas wreaths australia""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""luxury christmas door wreath""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""handcrafted christmas wreath australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas gift ideas,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas table,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,festive wreaths,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""xmas wreaths for front door""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas centrepieces""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""bespoke christmas centrepiece australia""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""handcrafted christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,christmas decorations,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas items,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,[luxury wreaths],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,luxury christmas wreath australia,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[premium luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""designer christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Enabled,"""handcrafted christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,18,1,5.56%,2.97,0.00%
Enabled,"""custom christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,1,0,0.00%,0.00,0.00%
Enabled,[christmas door wreath australia],Exact Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,2,1,50.00%,1.00,0.00%
Paused,christmas wreath,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,xmas shopping,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,xmas decorations,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,[buy christmas wreath],Exact Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
