# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20251106
# End date: 20251107
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/cart,39,4,9.75,190,78,0,0
/collections/christmas-collection,27,10,2.7,32.5,67,0,0
/collections/christmas-wreaths,25,10,2.5,55.7,59,0,0
/collections/christmas-candle-holders-centrepieces,21,3,7,50.666666666666664,40,0,0
/,12,7,1.7142857142857142,15.428571428571429,34,0,0
/products/christmas-hoot-wreath,12,3,4,31.666666666666668,45,19,0
/products/glamorous-pink-christmas-teardrop-swag,8,1,8,97,33,15,0
/products/sugar-plum-vintage-wreath,8,2,4,3.5,24,8,0
/collections/clearance,7,3,2.3333333333333335,38.333333333333336,16,0,0
/collections/floral-arrangements,6,1,6,13,8,0,0
/products/bells-berries-christmas-wreath,4,1,4,2,10,4,0
/products/cheeky-elf-blush-blooms-christmas-wreath,4,1,4,23,11,3,0
/products/sugar-plum-elegance-floral-arrangement,4,1,4,21,12,5,0
/checkouts/cn/hWN4697beZWJ4tvugZUxLTMq/en-au,3,1,3,170,9,3,0
/products/coastal-christmas-floral-arrangement,3,1,3,66,10,3,0
/products/delicate-elegance-candle-holder,2,1,2,14,6,2,0
/products/frozen-petal-christmas-arrangement,2,3,0.6666666666666666,10,7,2,0
/products/ribbon-berries-bliss-christmas-wreath,2,1,2,11,7,4,0
/products/untitled-oct1_17-18,2,1,2,22,5,1,0
/checkouts/cn/hWN4zjdbBzn2UlRrHE8e9wrE/en,1,1,1,0,2,1,0
/collections/all,1,1,1,10,3,0,0
/products/bluebird-frosty-serenade-wreath,1,1,1,4,2,0,0
/products/champagne-sparkle-vase-arrangement,1,1,1,5,3,1,0
/products/coastal-christmas-wreath,1,1,1,34,3,1,0
/products/festive-harmony-christmas-wreath,1,1,1,4,3,1,0
/products/frosted-woodland-berry-christmas-wreath,1,1,1,0,1,0,0
/products/icy-blue-magnolia-delight-vase-arrangement,1,1,1,4,3,1,0
/products/magnolias-winter-blush-christmas,1,1,1,56,3,1,0
/products/midnight-glam-christmas-centrepiece,1,1,1,6,3,1,0
/products/owl-s-christmas-teardrop-swag,1,1,1,3,4,2,0
/products/tartan-whimsy-wonder-christmas-wreath,1,1,1,11,5,2,0
/search,1,1,1,10,6,0,0
