Landing page report
6 November 2025 - 7 November 2025
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://beliefsinwreaths.com.au/pages/contact,ADVERTISER, --, --, --,0,10,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/floral-arrangements,ADVERTISER, --, --, --,0,11,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-wreaths,ADVERTISER, --, --, --,6,84,7.14%,AUD,3.69,22.16
https://beliefsinwreaths.com.au/collections/christmas-collection,ADVERTISER, --, --, --,8,51,15.69%,AUD,3.50,28.00
https://beliefsinwreaths.com.au/collections/clearance,ADVERTISER, --, --, --,0,57,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/valentines-day-collection,ADVERTISER, --, --, --,0,8,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/all-year-collection,ADVERTISER, --, --, --,0,12,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,ADVERTISER, --, --, --,0,48,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/policies/contact-information,ADVERTISER, --, --, --,0,4,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/easter-collection,ADVERTISER, --, --, --,0,11,0.00%,AUD,0,0.00
Total: Landing pages, --, --, --, --,12,85,14.12%,AUD,3.57,42.85
Total: Campaign,, --, --, --,14,85,16.47%,AUD,3.58,50.16
