Search keyword report
6 November 2025 - 7 November 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate
Enabled,"""stylish christmas wreaths""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,6,1,16.67%,3.82,0.00%
Paused,christmas online shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,holiday decor,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,christmas table centrepiece,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""designer christmas wreaths""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,christmas wreath with lights,Broad Match,Christmas Products,Limited,below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,luxury christmas decorations australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""luxury christmas centrepieces""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""designer christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""handcrafted christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,christmas decorations,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,xmas gifts,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,holiday gift shopping,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Paused,"""eucalyptus christmas wreath""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""designer christmas decor""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0.00,0.00%
Enabled,[luxury door wreath],Exact Match,Christmas Products,Limited,below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,[luxury christmas wreath delivery],Exact Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[buy luxury wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""designer christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Enabled,"""handmade christmas wreaths""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,9,0,0.00%,0.00,0.00%
Enabled,"""bespoke christmas decorations""",Phrase Match,Christmas Products,Eligible,,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,2,0,0.00%,0.00,0.00%
Enabled,"""luxury christmas collection""",Phrase Match,Christmas Products,Limited,below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-collection,1,0,0.00%,0.00,0.00%
Paused,christmas table,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,"""christmas door wreaths""",Phrase Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,[luxury christmas wreaths],Exact Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas wreath australia,Broad Match,Christmas Products,Paused,Paused,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""luxury christmas wreaths australia""",Phrase Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,[designer luxury christmas wreath],Exact Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""luxury designer christmas wreath""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Enabled,"""premium christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,"""designer christmas candle holder""",Phrase Match,Christmas Products,Paused,Paused; rarely served,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
Paused,wreath christmas,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%
Paused,christmas centrepiece,Broad Match,Christmas Products,Paused,Paused; below first page bid,0.00,AUD,0.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%
