Search terms report
6 November 2025 - 7 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
luxury christmas table decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wooden xmas stars,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
alessi nativity set,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath large,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
german christmas wreaths,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,2.98,2.98,0.00%,0.00,0.00
christmas wreath luxury,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
norsu christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
most beautiful christmas wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
ramon christmas decor,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
royal doulton christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
best christmas wreaths australia,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,2.96,2.96,0.00%,0.00,0.00
plain green christmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Exact match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
bauble decorating,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
patchwork christmas decorations,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.00,3.00,0.00%,0.00,0.00
luxury christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
first christmas bauble,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.55,3.55,0.00%,0.00,0.00
pine cone christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath with cross,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
exquisite christmas decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
chic christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
balsam fir christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
williams sonoma christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
custom christmas sign,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
koch and co christmas,Phrase match (close variant),None,Christmas Products,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath australian native,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas wreath,Exact Match,Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
juicy couture christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths australia,Exact match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
norfolk pine christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
swishmas australia,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas decorations australia,Phrase match (close variant),Added,Christmas Products,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
custom made christmas lights,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas front door wreath,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.82,3.82,0.00%,0.00,0.00
Total: Search terms,,,,5,41,12.20%,AUD,3.26,16.31,0.00%,0.00,0.00
Total: Other search terms,,,,9,44,20.45%,AUD,3.76,33.85,0.00%,0.00,0.00
Total: Campaign,,,,14,85,16.47%,AUD,3.58,50.16,0.00%,0.00,0.00
