Search terms report
9 November 2025 - 10 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
floral christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
habitania christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas placemats set of 8,Phrase match (close variant),None,Christmas Products,1,2,50.00%,AUD,4.43,4.43,0.00%,0.00,0.00
nightmare before christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
big xmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
coastal christmas wreath,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath australian native,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.92,3.92,0.00%,0.00,0.00
christmas wreath nearby,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
berry christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas door reef,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.99,3.99,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,Christmas Products,4,9,44.44%,AUD,4.03,16.13,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,2,14,14.29%,AUD,3.94,7.87,0.00%,0.00,0.00
elegant christmas decor,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
floral christmas wreaths,Phrase match (close variant),None,Christmas Products,2,1,200.00%,AUD,3.74,7.48,0.00%,0.00,0.00
morgan and finch wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
the inge glas company,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath light,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
elegant christmas centerpieces for tables,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
small christmas reef,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
white christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
swish christmas collection,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
pine cone christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
xmas reef for front door,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.91,3.91,0.00%,0.00,0.00
large christmas stocking with initial,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
royal albert christmas,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreaths christmas,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
native christmas wreath australia,Phrase match (close variant),None,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
lincraft christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxe christmas decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
morgan and finch christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
hanging christmas wreath from ceiling,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.18,4.18,0.00%,0.00,0.00
christmas luxury decorations,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.44,4.44,0.00%,0.00,0.00
christmas wreath 60cm,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
