Search keyword report
1 June 2024 - 10 November 2025
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,CTR,Cost,Conv. rate,Conversions,Cost / conv.
Paused,christmas items,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,136,11,8.09%,8.95,0.00%,0.00,0.00
Enabled,"""xmas wreaths for front door""",Phrase Match,Christmas Products,Eligible,,AUD,0.80,https://beliefsinwreaths.com.au/collections/christmas-wreaths,36,6,16.67%,5.16,0.00%,0.00,0.00
Paused,[luxury wreaths],Exact Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.75,https://beliefsinwreaths.com.au/collections/christmas-wreaths,3,0,0.00%,0.00,0.00%,0.00,0.00
Paused,christmas table,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,41,3,7.32%,2.60,0.00%,0.00,0.00
Paused,"""luxury christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused,AUD,4.50,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
Paused,luxury christmas wreath australia,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,"2,238",298,13.32%,339.37,0.00%,0.00,0.00
Paused,festive wreaths,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-wreaths,186,19,10.22%,11.72,0.00%,0.00,0.00
Paused,"""luxury christmas centrepieces""",Phrase Match,Christmas Products,Paused,Paused,AUD,4.75,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""bespoke christmas centrepiece australia""",Phrase Match,Christmas Products,Paused,Paused; rarely served,AUD,3.75,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
Paused,christmas gift ideas,Broad Match,Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,168,13,7.74%,9.44,0.00%,0.00,0.00
Enabled,"""designer christmas wreaths australia""",Phrase Match,Christmas Products,Not eligible,rarely served,AUD,1.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0.00,0.00%,0.00,0.00
Paused,"""handcrafted christmas centrepiece""",Phrase Match,Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,0,0, --,0.00,0.00%,0.00,0.00
