Search terms report
11 November 2025 - 11 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
quality christmas decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreath christmas,Exact match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreath with red berries,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
swishmas australia,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,5.30,5.30,0.00%,0.00,0.00
table wreath centerpieces christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
gothic christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
traditional christmas wreaths uk,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,6.46,6.46,0.00%,0.00,0.00
christmas wreaths outdoor,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,8.02,8.02,0.00%,0.00,0.00
christmas reef,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths australia,Phrase match (close variant),Added,Christmas Products,2,1,200.00%,AUD,4.20,8.40,0.00%,0.00,0.00
large christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
blue xmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
william morris christmas decorations,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
mini xmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
lands end christmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
pink christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
australian native xmas wreath,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,8.04,8.04,0.00%,0.00,0.00
luxury christmas coasters,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
xmas wreath,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Total: Search terms,,,,6,21,28.57%,AUD,6.04,36.22,0.00%,0.00,0.00
Total: Other search terms,,,,2,7,28.57%,AUD,4.04,8.08,0.00%,0.00,0.00
Total: Campaign,,,,8,28,28.57%,AUD,5.54,44.30,0.00%,0.00,0.00
