Search terms report
11 November 2025 - 11 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
blue xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
large plain christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
white christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
mini xmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
grinch wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
white christmas reef,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
elegant christmas centerpieces for tables,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
william morris christmas decorations,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas door wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,4,25.00%,AUD,2.07,2.07,Search,0.00%,0.00,0.00
swishmas australia,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,5.30,5.30,Search,0.00%,0.00,0.00
lands end christmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,2,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
luxury christmas coasters,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
pink christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
luxury christmas table decorations,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,6,16.67%,AUD,8.24,8.24,Search,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.27,8.27,Search,0.00%,0.00,0.00
large christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreaths outdoor,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.02,8.02,Search,0.00%,0.00,0.00
christmas wreaths australia,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,2,2,100.00%,AUD,4.20,8.40,Search,0.00%,0.00,0.00
christmas wreath,Exact match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,8,12.50%,AUD,6.42,6.42,Search,0.00%,0.00,0.00
christmas reef,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
norfolk pine real touch wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,2,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
australian native xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.04,8.04,Search,0.00%,0.00,0.00
white and gold wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
gothic christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
traditional christmas wreaths uk,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,6.46,6.46,Search,0.00%,0.00,0.00
table wreath centerpieces christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
quality christmas decorations,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreaths,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,0,1,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
