Search terms report
11 November 2025 - 11 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
large christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
australian native xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.04,8.04,Search,0.00%,0.00,0.00
wreath christmas,Exact match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreaths outdoor,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.02,8.02,Search,0.00%,0.00,0.00
traditional christmas wreaths uk,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,6.46,6.46,Search,0.00%,0.00,0.00
gothic christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
mini xmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
blue xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
lands end christmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,11,3,27.27%,AUD,7.51,22.52,,0.00%,0.00,0.00
Total: Other search terms,,,,,3,0,0.00%,AUD,0,0.00,,0.00%,0.00,0.00
Total: Account,,,,,14,3,21.43%,AUD,7.51,22.52,,0.00%,0.00,0.00
Total: Smart,,,,,0,0, --,AUD,0,0.00,Smart,0.00%,0.00,0.00
Total: Search,,,,,14,3,21.43%,AUD,7.51,22.52,Search,0.00%,0.00,0.00
