Search terms report
10 November 2025 - 11 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
xmas reef for front door,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,3.91,3.91,Search,0.00%,0.00,0.00
swish christmas collection,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
morgan and finch christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
royal albert christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
australian native xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.04,8.04,Search,0.00%,0.00,0.00
luxe christmas decorations,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
wreaths christmas,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
paper xmas decorations,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
australian made christmas decorations,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,2,100.00%,AUD,3.01,6.02,Search,0.00%,0.00,0.00
large christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
dachshund christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas decoration with pine cones,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
traditional christmas wreaths uk,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,6.46,6.46,Search,0.00%,0.00,0.00
gothic christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
aldi wreath christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
mini xmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreaths large,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,3.90,3.90,Search,0.00%,0.00,0.00
christmas door wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,3,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Exact match (close variant),Added,B-in-W [Search | Sales],Christmas Products,13,2,15.38%,AUD,3.98,7.95,Search,0.00%,0.00,0.00
native christmas wreath australia,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
modern christmas wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
floral christmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,2,200.00%,AUD,3.74,7.48,Search,0.00%,0.00,0.00
blue xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
morgan and finch wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
elegant christmas decor,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath for door,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,3.90,3.90,Search,0.00%,0.00,0.00
robert gordon christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath for front door,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
hand made christmas decorations,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,2.98,2.98,Search,0.00%,0.00,0.00
christmas wreaths australia,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas bauble wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
big xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
nightmare before christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
elegant christmas centerpieces for tables,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
coastal christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath australian native,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,3.92,3.92,Search,0.00%,0.00,0.00
giant christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
xmas wreaths for front door,Exact Match,Added,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas bauble company,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
habitania christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
lanterns decorated for christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
wreath martha stewart,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,3,3,100.00%,AUD,4.04,12.12,Search,0.00%,0.00,0.00
berry christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
green christmas door wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
jolly and joy christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
the inge glas company,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath light,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas reef,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,2,100.00%,AUD,3.90,7.80,Search,100.00%,2.00,3.90
christmas bauble designs,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
royal doulton christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreaths outdoor,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.02,8.02,Search,0.00%,0.00,0.00
small christmas reef,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,8,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath 60cm,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
small plain christmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
wreath christmas,Exact match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
real flower christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
outdoor christmas wreath australia,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,90,19,21.11%,AUD,4.34,82.50,,10.53%,2.00,41.25
Total: Other search terms,,,,,36,5,13.89%,AUD,4.47,22.34,,0.00%,0.00,0.00
Total: Account,,,,,126,24,19.05%,AUD,4.37,104.83,,8.33%,2.00,52.42
Total: Search,,,,,126,24,19.05%,AUD,4.37,104.83,Search,8.33%,2.00,52.42
Total: Smart,,,,,0,0, --,AUD,0,0.00,Smart,0.00%,0.00,0.00
