Landing page report
12 November 2025 - 12 November 2025
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://beliefsinwreaths.com.au/collections/easter-collection,ADVERTISER, --, --, --,0,2,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/clearance,ADVERTISER, --, --, --,1,12,8.33%,AUD,6.82,6.82
https://beliefsinwreaths.com.au/collections/valentines-day-collection,ADVERTISER, --, --, --,0,2,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,ADVERTISER, --, --, --,0,12,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/all-year-collection,ADVERTISER, --, --, --,0,5,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/pages/contact,ADVERTISER, --, --, --,0,1,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/floral-arrangements,ADVERTISER, --, --, --,0,3,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-collection,ADVERTISER, --, --, --,0,1,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-wreaths,ADVERTISER, --, --, --,4,20,20.00%,AUD,6.84,27.37
Total: Landing pages, --, --, --, --,4,16,25.00%,AUD,6.84,27.37
Total: Account,, --, --, --,5,16,31.25%,AUD,6.84,34.19
Total: Search,, --, --, --,5,16,31.25%,AUD,6.84,34.19
Total: Smart,, --, --, --,0,0, --,AUD,0,0.00
