Search terms report
12 November 2025 - 12 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
provincial christmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,4,1,25.00%,AUD,2.09,2.09,Search,0.00%,0.00,0.00
pink wreath christmas,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
unique christmas wreaths,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.23,8.23,Search,0.00%,0.00,0.00
christmas wreaths australia,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,6.82,6.82,Search,0.00%,0.00,0.00
Total: Search terms,,,,,8,3,37.50%,AUD,5.71,17.14,,0.00%,0.00,0.00
Total: Other search terms,,,,,8,2,25.00%,AUD,8.53,17.05,,0.00%,0.00,0.00
Total: Account,,,,,16,5,31.25%,AUD,6.84,34.19,,0.00%,0.00,0.00
Total: Search,,,,,16,5,31.25%,AUD,6.84,34.19,Search,0.00%,0.00,0.00
Total: Smart,,,,,0,0, --,AUD,0,0.00,Smart,0.00%,0.00,0.00
