Landing page report
13 November 2025 - 13 November 2025
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,ADVERTISER, --, --, --,0,38,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/clearance,ADVERTISER, --, --, --,0,36,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/valentines-day-collection,ADVERTISER, --, --, --,0,2,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/all-year-collection,ADVERTISER, --, --, --,0,9,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/easter-collection,ADVERTISER, --, --, --,0,5,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/floral-arrangements,ADVERTISER, --, --, --,0,19,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/pages/contact,ADVERTISER, --, --, --,0,3,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-collection,ADVERTISER, --, --, --,0,5,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-wreaths,ADVERTISER, --, --, --,6,57,10.53%,AUD,5.14,30.86
Total: Landing pages, --, --, --, --,5,44,11.36%,AUD,5.24,26.18
Total: Campaign,, --, --, --,6,44,13.64%,AUD,5.14,30.86
