Search terms report
13 November 2025 - 13 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
fancy christmas decor,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
tk maxx christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,1,8,12.50%,AUD,7.07,7.07,0.00%,0.00,0.00
luxury christmas tablecloth,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
exclusive christmas decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
split wreath for double doors,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,6.15,6.15,0.00%,0.00,0.00
christmas wreaths decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
best christmas wreaths australia,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
modern xmas wreath,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath perth,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
modern christmas wreath,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
very large christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
real looking christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath provincial,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,3.26,3.26,0.00%,0.00,0.00
wreath christmas,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
zara christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
laura ashley christmas,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths for front door,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
beautiful christmas wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
designer xmas wreaths,Exact match (close variant),None,Christmas Products,1,1,100.00%,AUD,4.68,4.68,0.00%,0.00,0.00
kitsch christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
big christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Total: Search terms,,,,4,31,12.90%,AUD,5.29,21.16,0.00%,0.00,0.00
Total: Other search terms,,,,2,13,15.38%,AUD,4.85,9.70,0.00%,0.00,0.00
Total: Campaign,,,,6,44,13.64%,AUD,5.14,30.86,0.00%,0.00,0.00
