Search terms insight report
14 November 2025 - 14 November 2025 compared to 13 November 2025 - 13 November 2025
Search category,Search subcategory,Search terms,Impressions,Impressions (Change %),Clicks,Clicks (Change %),Conversions,Conversions (Change %),Conv. value,Conv. value (Change %),CTR,CTR (Change %),Conv. rate,Conv. rate (Change %),Search volume,Search volume (Change %)
luxury christmas wreaths for front door,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",28.00%
Uncategorised search terms,Subcategory – Total, --,8,-50.00%,2,-33.33%,0.00,0.00%,0.00,0.00%,25.00%,33.33%,0.00%,0.00%, --, --
christmas wreaths,Subcategory – Total, --,3,-75.00%,0,-100.00%,0.00,0.00%,0.00,0.00%,0.00%,-100.00%,0.00%,0.00%,"100 - 1,000",-55.00%
christmas wreaths,Uncategorised search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
wohlers christmas decorations,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",-75.00%
red berry wreaths,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0 - 10,-90.00%
large christmas wreaths,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,"100 - 1,000",-1.00%
luxury christmas wreath australia,Subcategory – Total, --,2,-71.43%,1,0.00%,0.00,0.00%,0.00,0.00%,50.00%,250.00%,0.00%,0.00%,"100 - 1,000",-78.00%
stylish christmas wreaths,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0 - 10,-60.00%
luxury christmas wreath,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0 - 10,-86.00%
elegant christmas decorating ideas,Subcategory – Total, --,0,-100.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,10 - 100,-79.00%
