Search terms report
15 November 2025 - 15 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
xmas door wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
all weather christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths real,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths,Phrase match (close variant),None,Christmas Products,1,4,25.00%,AUD,4.22,4.22,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,1,6,16.67%,AUD,7.85,7.85,0.00%,0.00,0.00
christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
best christmas wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Total: Search terms,,,,2,15,13.33%,AUD,6.04,12.07,0.00%,0.00,0.00
Total: Other search terms,,,,1,3,33.33%,AUD,7.89,7.89,0.00%,0.00,0.00
Total: Campaign,,,,3,18,16.67%,AUD,6.65,19.96,0.00%,0.00,0.00
