Landing page report
16 November 2025 - 17 November 2025
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://beliefsinwreaths.com.au/pages/contact,ADVERTISER, --, --, --,0,6,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/floral-arrangements,ADVERTISER, --, --, --,0,18,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-wreaths,ADVERTISER, --, --, --,7,62,11.29%,AUD,7.87,55.07
https://beliefsinwreaths.com.au/collections/all-year-collection,ADVERTISER, --, --, --,0,20,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/clearance,ADVERTISER, --, --, --,0,43,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/valentines-day-collection,ADVERTISER, --, --, --,0,4,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,ADVERTISER, --, --, --,0,44,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/policies/contact-information,ADVERTISER, --, --, --,0,2,0.00%,AUD,0,0.00
https://beliefsinwreaths.com.au/collections/easter-collection,ADVERTISER, --, --, --,0,5,0.00%,AUD,0,0.00
Total: Landing pages, --, --, --, --,7,51,13.73%,AUD,7.87,55.07
Total: Campaign,, --, --, --,7,51,13.73%,AUD,7.87,55.07
