Search terms report
16 November 2025 - 17 November 2025
Search term,Match type,Added/Excluded,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
christmas wreath door,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
xmas wreaths australia,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
where can i get a christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreaths christmas,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
rattan christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath decorations,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath with ribbons,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
australian christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,Christmas Products,2,15,13.33%,AUD,8.13,16.25,0.00%,0.00,0.00
marks spencer christmas wreath,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,8.15,8.15,0.00%,0.00,0.00
extra large christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
luxury christmas wreath australia,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
wreath christmas,Phrase match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
prelit christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
large christmas wreath,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,8.03,8.03,0.00%,0.00,0.00
where to buy real christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
prelit wreath,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,6.45,6.45,0.00%,0.00,0.00
1 metre christmas wreath,Phrase match (close variant),None,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas door wreaths,Exact match (close variant),Added,Christmas Products,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
christmas wreaths for front door,Phrase match (close variant),None,Christmas Products,1,1,100.00%,AUD,7.89,7.89,0.00%,0.00,0.00
Total: Search terms,,,,6,37,16.22%,AUD,7.79,46.77,0.00%,0.00,0.00
Total: Other search terms,,,,1,14,7.14%,AUD,8.30,8.30,0.00%,0.00,0.00
Total: Campaign,,,,7,51,13.73%,AUD,7.87,55.07,0.00%,0.00,0.00
