Ad report
18 November 2025 - 18 November 2025
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Top) %,Impr. (Abs. Top) %,Conv. rate,Conversions,Cost / conv.
Paused,https://beliefsinwreaths.com.au,Easter Sets, --,Luxury Handcrafted Wreaths, --,Personalised Wreaths, --,Gorgeous Easter Wreath, --,Custom Personalised Wreaths, --,Door Wreath Australia, --,Easter Bunny Wreath, --,Easter Wreaths, --,Personalised Wreath Gift, --,Vase Arrangements and Sets, --,Luxury Easter Wreaths, --,Easter egg Wreath, --,Easter Wreath for front door, --,Best Easter Decorations, --,Designer Easter Wreaths, --,Luxury Handcrafted Wreaths And Home Decor For Easter and All Season made in Australia., --,Handmade door decor for Easter and All season. Free Delivery For Orders Over $99., --,Personalised wreaths for Easter and All season. Free Delivery For Orders Over $99., --,Easter Candle Holders and centrepieces for Easter and All season. Made in Australia, --, --, --,, --, --,,Sales-Search-Test1,Search Sale Ad group 1,Paused,Paused; ad group paused; campaign paused,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,0,0, --,AUD,0,0.00, --, --,0.00%,0.00,0.00
Enabled,https://beliefsinwreaths.com.au/collections/christmas-wreaths,Beliefs in Wreaths, --,Handmade Christmas Wreaths, --,Buy {KeyWord: Now & Get Ready 4 Xmas}, --,Christmas Wreaths With Lights, --,High Quality Products,3,Luxury Christmas Wreaths, --,Australian Christmas Wreaths, --,Browse Our {Keyword:Wreath} Range Online, --,Beautiful & Unique Wreaths, --,Free Delivery Over $140, --,Personalise Your {Keyword:Wreath}, --,Order Your Christmas Wreath, --,Seasonal Christmas Decorations, --,Custom Door Wreaths, --,Order Now For Christmas, --,"Handmade Australian wreaths. Custom designs, free delivery over $140. Order now!",1,Handcrafted in Australia. Premium materials. Personalisation available. Shop now!,2,Premium Christmas Wreaths. For a Luxurious Holiday Season., --,Unique Christmas Wreaths: Handmade with Love in Australia, --,christmas,wreaths,, --, --,,B-in-W [Search | Sales],Christmas Products,Eligible,,Excellent,,Responsive search ad,1,6,16.67%,AUD,5.78,5.78,66.67%,50.00%,0.00%,0.00,0.00
Enabled,https://beliefsinwreaths.com.au/collections/christmas-candle-holders-centrepieces,Christmas Floral Arrangement, --,Decor Beliefs in Wreaths, --,Buy {KeyWord: Now & Get Ready 4 Xmas}, --,Christmas Candle Table Decor, --,Stunning Christmas Centrepiece, --,Your Unique Christmas Table, --,Christmas Holiday Table Charm, --,Centrepiece Australia, --,Artificial Xmas Arrangements, --,Beliefs in Wreaths Xmas Decor, --,Luxury Christmas Table Decor, --,High Quality Xmas Centrepiece, --,Custom Made Xmas Arrangement, --,Handmade Christmas Gift Ideas, --,Browse Our Xmas Collection, --,Create Your Stunning Christmas Table with our Unique Centerpieces and Floral Arrangements, --,Experience Luxury With An Exquisite Christmas Centrepiece Hand Crafted In Australia, --,"Shop Our Collection of Stylish Table Arrangements, create Picture-Perfect Xmas Celebration", --,Explore Premium Christmas Table Arrangements And More For Unforgettable Gifts In Australia, --,christmas,table-decor,, --, --,,B-in-W [Search | Sales],Christmas Products,Eligible,,Excellent,,Responsive search ad,0,1,0.00%,AUD,0,0.00,100.00%,0.00%,0.00%,0.00,0.00
Enabled,https://beliefsinwreaths.com.au/collections/christmas-wreaths,Luxury Christmas Wreaths, --,Free Delivery + Afterpay, --,Buy {Keyword: Now & Get Ready 4 Xmas}, --,Christmas Wreaths Australia, --,Browse Our Wreath Collection, --,Personalise Your Wreath, --,High Quality Christmas Wreaths, --,Artificial Christmas Wreaths, --,Beliefs in Wreaths Xmas Decor, --,Free Delivery Over $140, --,Peacock Christmas Wreath, --,High Quality Christmas Decor, --,Custom Made Christmas Wreaths, --,Whimsical Christmas Wreaths, --,Afterpay Available - Pay in 4, --,Premium Christmas wreaths $150-$300. Pay in 4 with Afterpay. Handcrafted in Australia., --,Create Your Unique And Unforgettable Christmas With Our One Of The Kind Wreaths And Gifts, --,Shop Our Collection of Stylish Wreaths for a Picture-Perfect Christmas Celebration, --,Delight In The Charm Of a Custom Made Christmas Wreath For a Whimsical Touch, --,christmas,wreaths,, --, --,,B-in-W [Search | Sales],Christmas Products,Eligible,,Excellent,,Responsive search ad,0,7,0.00%,AUD,0,0.00,85.71%,85.71%,0.00%,0.00,0.00
Paused,https://beliefsinwreaths.com.au/collections/christmas-collection,Christmas Door Wreath, --,Christmas Wreath Australia, --,Beliefs in Wreaths Xmas Decor, --,Stylish Christmas Wreath, --,Christmas Collection Australia, --,Luxury Christmas Decorations, --,High Quality Xmas Decor Wreath, --,Artificial Wreath Christmas, --,Christmas Wreath Melbourne VIC, --,Christmas Front Door Decor, --,Luxury Door Decor Christmas, --,High Quality Christmas Decor, --,Custom Made Christmas Wreaths, --,Whimsical XMas Wreaths Vic, --,Get Ready 4 Xmas - Shop Now, --,Experience Luxury With An Exquisite Christmas Wreath Hand Crafted In Australia, --,Explore Premium Christmas Wreaths And More For Unforgettable Gifts In Australia, --,Shop Our Collection of Stylish Holiday Wreaths for a Picture-Perfect Christmas Celebration, --,Delight In The Charm Of a Custom Made Christmas Wreath For a Whimsical Touch., --,christmas,wreaths,, --, --,,B-in-W [Search | Sales],Christmas Products,Paused,Paused,Pending,,Responsive search ad,0,0, --,AUD,0,0.00, --, --,0.00%,0.00,0.00
Paused,https://beliefsinwreaths.com.au/collections/all-year-collection,Custom Made Front Door Wreaths, --,Elegant Front Door Decor, --,Artisanal Wreaths Australia, --,Customised Australian Wreaths, --,Handcrafted Front Door Decor, --,Personalised Wreaths Australia, --,High Quality Handcrafted Decor, --,Australia's Best Wreaths, --,Aussie Handmade Wreaths, --,Wreaths For Different Occasion, --,Best Wreaths For Front Door, --,Front Door Artificial Wreaths, --,High Quality Artificial Decor, --,Seasonal Front Door Wreaths, --,Unique Front Door Wreaths, --,Celebrate Every Season with Stunning High Quality Front Door Decor for Year-Round Joy, --,Transform Your Entryway into a Welcoming Sanctuary with our Beautiful Front Door Decor, --,Customize Your Front Door with our High Quality Front Door Decor for a Unique Welcome, --,Surprise everyone with Everlasting Real Touch Flowers with our Unique Door Decor, --,front-door,decor,, --, --,,B-in-W [Search | Sales],All Year Products,Paused,Paused; ad group paused,Pending,,Responsive search ad,0,0, --,AUD,0,0.00, --, --,0.00%,0.00,0.00
Total: ,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,2,8,25.00%,AUD,8.31,16.61,62.50%,62.50%,0.00%,0.00,0.00
Total: Ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,3,22,13.64%,AUD,7.46,22.39,72.73%,63.64%,0.00%,0.00,0.00
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,13.64%,AUD,7.46,22.39,72.73%,63.64%,0.00%,0.00,0.00
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,13.64%,AUD,7.46,22.39,72.73%,63.64%,0.00%,0.00,0.00
