Search keyword report
18 November 2025 - 18 November 2025
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Paused,christmas wreath,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas decor reindeer,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""premium christmas decorations""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""handmade christmas door wreaths""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,5.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""artificial christmas wreaths luxury""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,5.50,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[christmas door wreath australia],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,luxury christmas wreath australia,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,1.20,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas ideas,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,xmas accessories,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.25,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,"""premium luxury christmas wreath""",Phrase Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; rarely served,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,christmas gift ideas,Broad Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused; below first page bid,AUD,0.30,https://beliefsinwreaths.com.au/collections/christmas-collection,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
Paused,[buy christmas wreath],Exact Match,B-in-W [Search | Sales],Christmas Products,Paused,Paused,AUD,4.00,https://beliefsinwreaths.com.au/collections/christmas-wreaths,0,0, --,0,0.00,0,0.00%,0.00,0,0.00
