Search terms report
18 November 2025 - 18 November 2025
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
white xmas wreath,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath,Phrase match (close variant),Added,B-in-W [Search | Sales],Christmas Products,9,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreaths,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,2,1,50.00%,AUD,8.17,8.17,Search,0.00%,0.00,0.00
christmas wreaths,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
christmas wreath white,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
pink christmas wreath for door,Phrase match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,1,100.00%,AUD,8.44,8.44,Search,0.00%,0.00,0.00
xmas door wreath,Exact match (close variant),None,B-in-W [Search | Sales],Christmas Products,1,0,0.00%,AUD,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,16,2,12.50%,AUD,8.31,16.61,,0.00%,0.00,0.00
Total: Other search terms,,,,,6,1,16.67%,AUD,5.78,5.78,,0.00%,0.00,0.00
Total: Account,,,,,22,3,13.64%,AUD,7.46,22.39,,0.00%,0.00,0.00
Total: Smart,,,,,0,0, --,AUD,0,0.00,Smart,0.00%,0.00,0.00
Total: Search,,,,,22,3,13.64%,AUD,7.46,22.39,Search,0.00%,0.00,0.00
