Negative keyword report
All Time
Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
[christmas gifts for boys],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas decorations wholesale],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[paper christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas cards to make],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[religious christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[costco christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas stocking ideas for adults],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[bunnings christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[outdoor nutcracker],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[amazon christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[candle wreaths],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[cheap christmas decorations wholesale],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
"""best christmas tree decorations""",Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Phrase Match
[life size christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[ceiling garland christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[knit christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas decorations for dollhouse],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas dishes clearance],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas snow globes australia],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[myers christmas],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[1920s christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[balsam hill outlet],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
"""animated christmas angels""",Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Phrase Match
[knitted christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[david jones christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[christmas gifts to make],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[3d christmas decorations],Keyword,B-in-W [Search | Sales],Christmas Products,Ad group,Exact Match
[lamington finger christmas wreath],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[15ft grapevine garland by ashland],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[christmas decorations using picture frames],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[on trend christmas trees],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
"""afloral norfolk pine garland""",Keyword,B-in-W [Search | Sales], --,Campaign,Phrase Match
[wreath costs],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[christmas wreath making perth],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[costco gift items],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[papercraft wreath],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[artificial flowers in vase spotlight],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[outdoor christmas decorations kmart],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[wholesale santa sacks australia],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[balsam hill wreaths sale],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[how to decorate front of house for christmas],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[the christmas warehouse australia],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[wreath in basket],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[homemade gifts for dad from daughter],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
[it's a boy door wreath],Keyword,B-in-W [Search | Sales], --,Campaign,Exact Match
